,title,url
81,DokeV Gamescom 2021 Opening Night Live | David Kang Trailer Reaction,https://www.youtube.com/watch?v=BgJtrlUgc6M
82,DokeV | Official Reveal Trailer | Pearl Abyss MMO,https://www.youtube.com/watch?v=0nMLksjtvkg
83,도깨비 OST - 락스타 DokeV OST - ROCKSTAR   1시간 듣기 1 hour loop  ,https://www.youtube.com/watch?v=TO_1l4Ar30c
84,Gamescom Opening Night Live 2021 - MinnMax's Live Reaction,https://www.youtube.com/watch?v=W-vD6ZM3WeE
85,펄어비스의 도깨비 한국 반응 댓글을 읽어보았습니다,https://www.youtube.com/watch?v=v3WD3w5Psp0
86,[도깨비] DoKeV 역대급 미친 그래픽 펄어비스 신작게임 게임플레이 영상 공개,https://www.youtube.com/watch?v=gjkGcPRSziQ
87,Pokemon-Style Creature Collecting in an Open World! DokeV First Gameplay Looks Crazy!,https://www.youtube.com/watch?v=folPX9KfWQ4
88,"DokeV 도깨비 게임 트레일러 노래 ""Rockstar""",https://www.youtube.com/watch?v=y2uCuBfn74k
89,DokeV: The Pokemon MMORPG We've All Been Waiting For?,https://www.youtube.com/watch?v=lxck7Z05kqs
90,Everything We Know about DokeV,https://www.youtube.com/watch?v=nqTvgrKGx-8
91,DokeV REACTION // DokeV - World Premiere 게임 플레이 예고편 | 게임스컴 2021,https://www.youtube.com/watch?v=I6zxw_gt5m0&pp=ugMICgJrbxABGAE%3D
92, 국뽕주의  도깨비 게임 트레일러 해외반응 모음    (전체 한글자막) DokeV 리액션 반응,https://www.youtube.com/watch?v=ToNvvWa-uRg
93,Stacz Reactz - DokeV | Pokemon x Digimon x Ghost Butsers,https://www.youtube.com/watch?v=Tfq92FI0DHw
94,WHAT IS THIS?! | DokeV Gameplay Trailer REACTION | Gamescom 2021,https://www.youtube.com/watch?v=bwTFyws69ls
95,"""도깨비"" 트레일러 속의 숨겨진 한국 요소들을 알아보자",https://www.youtube.com/watch?v=rn3k0cTW40Q
96,신나는 노동요는 이거다!! 소리빵빵 [펄어비스 도깨비 ost 락스타] 1시간 연속 재생,https://www.youtube.com/watch?v=RZQlXJ4HvdQ
97,Hat POKEMON ein PROBLEM    Kann DokeV eine Alternative sein?,https://www.youtube.com/watch?v=E1_t-DlHvhI
98,"Juegos GRATIS y Noticias de PC y Consola: Dokev, Elden Ring, Century Age of Ashes, New World y m s",https://www.youtube.com/watch?v=KxJ2hMxuufg
99,DokeV - 다가오는 몬스터 컬렉션 MMORPG | 예고편 반응 및 생각 w/Cryy,https://www.youtube.com/watch?v=jodzaPI5970&pp=ugMICgJrbxABGAE%3D
100,DokeV Official Gameplay Trailer | Reaction,https://www.youtube.com/watch?v=h-S1Rt-j4Jc
101,도깨비(DoKev)  블소2는 보거라..도깨비에 대한 모든걸 말하겠습니다,https://www.youtube.com/watch?v=KksSizjkEWc
102,#도깨비 #펄어비스 도깨비 개발자 인터뷰 이게 게임입니다 여러분 힐링하세요,https://www.youtube.com/watch?v=AYdIYPPgu1A
103,DokeV - Gameplay Reveal | Reaction,https://www.youtube.com/watch?v=sTAO0NQ2zsk
104,Luena - ROCKSTAR(TAK_Remix),https://www.youtube.com/watch?v=7e0CkCzrjzY
105,NEW OPEN WORLD Pokemon LIKE DokeV REACTION! Gamescom Opening Night Live 2021,https://www.youtube.com/watch?v=gW47xnryt3k
106,"Le VRAI Pok mon Next Gen ?! DokeV   Tortank Unite, DBZ Kakarot Switch & Nouvelle GBA SP Mod'  ",https://www.youtube.com/watch?v=NsRke9uTV5c
107,DokeV World Premiere Gameplay Trailer Reaction - IS THIS REAL!?,https://www.youtube.com/watch?v=TDsdfcoRZX4
108,"Reacting to Dokev, a game like Pokemon/Yokai-Watch - Gamescom 2021 Opening Live",https://www.youtube.com/watch?v=Sr50fhS-UyU
109,DokeV - Gameplay Trailer Reaction - cute creatures and amazing visuals!,https://www.youtube.com/watch?v=Wni7UTAt_Sc
110,My reaction to the DokeV Official Extended Gameplay Trailer | GAMEDAME REACTS,https://www.youtube.com/watch?v=y6OCAE6s1kk
111,충격적인 펄어비스 도깨비 트레일러 영상보고...느낀 리뷰,https://www.youtube.com/watch?v=fsbHsp9Sz1w
112,엔씨소프트 보고있제?? 대박 K게임 도깨비!! 이건 감동그자체..   리니지M 갈아타야되나..,https://www.youtube.com/watch?v=pjWg7AjU0_g
113,Horizon Forbidden West | Halo Infinite | COD Vanguard | DokeV | Elden Ring | Midnight Suns - WWP 294,https://www.youtube.com/watch?v=eoHMtsZr8ek
114,펄어비스 신작 DokeV (도깨비) 공식 발표 트레일러_댓글 반응 모음,https://www.youtube.com/watch?v=2kItFMAf-2M
115,"[블레이드앤소울2] 블소2 매출4위? 더 중요한건 ""메시지"" 입니다. feat.도깨비(dokev)",https://www.youtube.com/watch?v=AZbpKXLhgXs
116,[검은사막M]    펄어비스 신작 '도깨비(DokeV)' 트레일러 리뷰! (국뽕 한번 느껴보쉴~?),https://www.youtube.com/watch?v=N6FZaqSCfIo
117,"""DokeV"" Worth Playing 2020? | SKYLENT",https://www.youtube.com/watch?v=gVMCURhD3Z0
118,"DOKEV : Gameplay, monde ouvert impressionnant, Pok mon-like, coop... Tout savoir !",https://www.youtube.com/watch?v=n-1bJlk_VoI
119,DokeV is Back!! | Monster Taming Action Adventure Game Rooted in Korean Mythology!,https://www.youtube.com/watch?v=_9GUNdpQMh0
120,도깨비 트레일러 공개! 펄 어비스가 일 낸거 같아요!! 도깨비 (DokeV),https://www.youtube.com/watch?v=CSaNLg44gHc
121,DokeV - In-Game Environment (Night),https://www.youtube.com/watch?v=Z11oOZC5IZQ
122,DokeV - Official Extended Gameplay Trailer | gamescom 2021 REACTION!,https://www.youtube.com/watch?v=WGbQ65kMlnw
123,The Trailer for DokeV Hurt My Feelings | DokeV Trailer Reaction,https://www.youtube.com/watch?v=UE46eCDHYSo
124,DokeV - Official Extended Gameplay Trailer REACTION,https://www.youtube.com/watch?v=Bm5V0P3N_lk
125," 도깨비 (DokeV) OST - ROCKSTAR ver. Trailer   1시간 무광고 (1 Hours Loop), Lyrics",https://www.youtube.com/watch?v=8ORjdiJNHKM
126,QUAND POK MON RENCONTRE GENSHIN IMPACT - 5 Choses   Savoir sur DokeV,https://www.youtube.com/watch?v=3yVe5G8xFpU
127,Will this game KILL Pokemon ? DokeV Trailer Reaction,https://www.youtube.com/watch?v=85aTLfU0BwU
128,해외뿐만 아니라 국내에서도 난리 난 K-GTA 도깨비 분석 [DOKEV],https://www.youtube.com/watch?v=6YD77OSvFDc
129,DokeV: 실시간 전투가 가능한 3D 몬스터 길들이기 MMORPG! | 몬스터 테이머 쇼케이스,https://www.youtube.com/watch?v=_ZYyQJxKCxQ&pp=ugMICgJrbxABGAE%3D
130,DokeV - Theme song ROCKSTAR lyrics video (Korean + English),https://www.youtube.com/watch?v=MnAxm59ypoU
131,[ 도깨비 ] 게임 플레이 인게임 풋티지 트레일러 리액션 ( Dokev Ingame Footage Trailer Reaction ),https://www.youtube.com/watch?v=QVV2xC6bwZU
132,"gamescom 2021 Opening Night Live Reactions - Marvel's Midnight Suns, Saint's Row, Dokev & mehr!",https://www.youtube.com/watch?v=dAHxa3eZcBI
133,DokeV nimmt Pokemon & Yo-Kai Watch Hops! Nintendo Switch Version geplant? Trailer Reaction Deutsch,https://www.youtube.com/watch?v=NThWsmidl5w
134,"Pearl Abyss Reveal Their Next Game; DokeV, an Open World Adventure Game; Here's What We Know So Far!",https://www.youtube.com/watch?v=eNH8pEUnfpA
135,"DokeV, Halo Infinite Launch Details, & More - Gamescom News Roundup",https://www.youtube.com/watch?v=MKzaMj4xJVY
136,DokeV - Official Developer Walkthrough | gamescom 2021,https://www.youtube.com/watch?v=-TnbB87q1Ek
137,What Is This Dokev Game ?,https://www.youtube.com/watch?v=bnm_wDkoBEI
138,How DO This Pokemon MMO Look This Good?!? | Dokev Gameplay Reaction,https://www.youtube.com/watch?v=xh-znQxhaY8
139,펄어비스 대표와 도깨비(DokeV) 총괄 프로듀서가 직접 얘기하는 도깨비 이야기,https://www.youtube.com/watch?v=qeB-GCney1A
140,DOKEV - O Pokemon que a Nintendo N o Fez!,https://www.youtube.com/watch?v=sEsEsoB1lLs
141,DokeV Gamescom 2021 Trailer Reactions,https://www.youtube.com/watch?v=zseBTZySnUQ
142,"(G-STAR 2019 , 지스타) 최초공개! 펄어비스[Pearlabyss] 신작 ""도깨비,DokeV""",https://www.youtube.com/watch?v=2V2rJB9uODI
