,닉네임,ID,내용,날짜,시간
32,toggizzi,@toggizzi,"RT @winkatniel: &lt;스우파&gt; 스테이지 위의 강다니엘 
#강다니엘 #KangDaniel #스트릿우먼파이터 #스우파 #StreetWomanFighter #SWF @konnect_danielk
https://t.co/NcG6dMrEZz",2021-09-02,08:27:26
33,toggizzi,@toggizzi,RT @febnine94: &lt;스우파&gt; 스테이지 위의 강다니엘 https://t.co/Ogc8Y029jJ,2021-09-02,08:27:24
34,∞GodKD¹∞INFINITYGodsDNT∞🌈✞🎰🥇∞OUR KD UNIVERSE∞,@SuperStarGodKD,RT @tequila70: 코로나로 방청객 출입이 불가능한 요즘 강다니엘은 함성과 추임새로 공백을 느낄 수 없도록 꽉꽉 채우고 있다. 소리를 지르고 대본을 던지며 온 몸으로. 배틀의 MC이자 배틀의 일부가 된 강다니엘. '스우파'란 바둑판에 올려진…,2021-09-02,08:27:09
35,ㄱㅁㄱㅇ😍 KD is LOVE 💗,@Wish_MSJ,"RT @tellmeniela: 강다니엘 스우파 직관캠 32x2종 재생목록리스트

약자지목배틀 1,2화 포함

리액션캠
https://t.co/IhBxjBEmVv

풀캠
https://t.co/pc3T6oPKER

무한반복 편하게 하려고 재생목록으로…",2021-09-02,08:26:54
36,ㄱㅁㄱㅇ😍 KD is LOVE 💗,@Wish_MSJ,"RT @mX43dLgvAgvTeE0: 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/BFaNIO5qZ4

#강다니엘 #KANGDANIEL 
@konnect_danielk https://t.co/…",2021-09-02,08:26:44
37,오로지니엘,@flyhighdani01,"@into__universe @konnect_danielk 티저만 봐도 벌써 행복해짐
나의 행복버튼 강다니엘❤

#강다니엘 #KANGDANIEL 
@konnect_danielk https://t.co/w6yzMyYoQP",2021-09-02,08:26:22
38,toggizzi,@toggizzi,"RT @KarenKim01: [네이버 블로그]
'신의 한수'라 일컫는 강다니엘 &lt;스우파&gt;/[Vogue] 스우파 스테이지 위의 강다니엘  (기사)
https://t.co/g20RhKZY8K

#강다니엘 #KANGDANIEL @konnect_daniel…",2021-09-02,08:25:43
39,𝙿𝚘𝚕𝚊𝚛𝚘𝚒𝚍 ft. เบื่อ,@Orapinploy,RT @jjkdniel2: 스우파2화 강다니엘 리액션캠 댄스모먼트 https://t.co/H0cHaOdE7X,2021-09-02,08:25:39
40,너와나의 핑크머리걔 pinkhairguy,@pinkhairguy,"RT @jhdn96: &lt;스우파&gt; 스테이지 위의 강다니엘 https://t.co/FiOH5MLVN5

#강다니엘 #KangDaniel",2021-09-02,08:25:30
41,양도양도,@goods_yangdo12,"워너원 이니스프리 굿즈 팝니다
택미포 0.5
강다니엘 2세트 윤지성 1세트
옹성우 1세트 있습니다! https://t.co/bzRkSXzeiT",2021-09-02,08:25:12
