,닉네임,ID,내용,날짜,시간
51,이미숙,@ugzHG6975uXZ33k,"RT @1004hero1004: 임영웅 사랑의콜센타 아침에 햇살처럼 행복을 주는 목소리를 듣고 늘 행복합니다 건강조심하세요 #임영웅 
임영웅 사랑의콜센타 가시리

#임영웅 #LimYoungWoong 
#임영웅사랑의콜센타 #임영웅브평팀 #임영웅유튜브…",2021-09-02,07:23:03
52,이미숙,@ugzHG6975uXZ33k,"RT @1004hero1004: 임영웅 💘감성장인 걸어가는길 조심히 걸어가세요 
임영웅 홍랑

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 #임영웅유튜브 
출처:tv조선
편집:가인청도 https://t.co/EpgQuf2kV6",2021-09-02,07:22:57
53,이미숙,@ugzHG6975uXZ33k,"RT @1004hero1004: 임영웅 💘감성장인 걸어가는길 조심히 걸어가세요 
임영웅 홍랑

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 #임영웅유튜브 
출처:tv조선
편집:가인청도 https://t.co/u7kchfEz2E",2021-09-02,07:22:54
54,이미숙,@ugzHG6975uXZ33k,"RT @1004hero1004: 임영웅 💘감성장인 걸어가는길 조심히 걸어가세요 
임영웅 홍랑

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 #임영웅유튜브 
출처:tv조선
편집:가인청도 https://t.co/m40kacpZTL",2021-09-02,07:22:51
55,이미숙,@ugzHG6975uXZ33k,"RT @1004hero1004: 임영웅 💘감성장인 걸어가는길 조심히 걸어가세요 
임영웅 홍랑

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 #임영웅유튜브 
출처:tv조선
편집:가인청도 https://t.co/4fQ5U9eo4m",2021-09-02,07:22:48
56,이미숙,@ugzHG6975uXZ33k,"RT @1004hero1004: 임영웅 💘감성장인 걸어가는길 조심히 걸어가세요 
임영웅 홍랑

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 #임영웅유튜브 
출처:tv조선
편집:가인청도 https://t.co/Fwy3rSmKnI",2021-09-02,07:22:39
57,이미숙,@ugzHG6975uXZ33k,"RT @1004hero1004: 임영웅 💘감성장인 걸어가는길 조심히 걸어가세요 
임영웅 홍랑

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 #임영웅유튜브 
출처:tv조선
편집:가인청도 https://t.co/R6ccQ52D1z",2021-09-02,07:22:37
58,가을로,@myblue0623,RT @tokicullen: 송가인님의 왕팬인 우리엄마😆 가인이어라 노래 가사에서 가인에 낙연 넣어 부르고있곸ㅋㅋㅋㅋ대선때 이 노래 쓰면 좋겠다고 가사랑 이낙연 후보님이랑 너무 잘 맞는다곸ㅋㅋㅋㅋㅋ컵라면 먹다 뿜을뻔 했넼ㅋㅋㅋㅋ벌써 대선생각 하는 우…,2021-09-02,07:21:52
59,🇰🇷조용문🇰🇷,@z6geH1cr8QMDJPi,"RT @onlykys0829: 가인님 화나셨네 ㅋㅋㅋㅋ
#송가인 #화이팅 https://t.co/lQlv86jdjS",2021-09-02,07:18:53
60,stop1127,@imhero06_16,"RT @4033cLfC6bRoHZo: 임영웅 사랑의콜센타 
서울의달 세로직캠 
레드웅 

#임영웅 #LimYoungWoong 
#임영웅사랑의콜센타 #임영웅유튜브 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/La5lCINAYl",2021-09-02,07:15:23
61,알리,@singerwoog,"RT @dwt4430: 임영웅 뽕숭아학당 
영웅시대 나도 사랑해..  
#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/SuGIBce7E7",2021-09-02,07:14:20
62,♡,@ltqs1Us6FhH2XaX,"RT @jun3_jk: 찌통 하이틴 보고파. 미국으로 유학간 너드 재질 여주. 그리고 킹가인 정굯은 여주 보자마자 자기 친구들이랑 며칠안에 꼬시는지 내기할 듯, 여주를 점점 좋아하게 된 자기 마음도 모르고.

결국 모든 걸 알아버린 여주는 정굯을 죽…",2021-09-02,07:12:19
63,히어로뿜뿜,@TWWvjB49Vqp5hL8,"RT @4033cLfC6bRoHZo: 임영웅 사랑의콜센타 여백
사랑스러웅 
#임영웅 #LimYoungWoong 
#임영웅사랑의콜센타 #임영웅브평팀 
출처:미스앤미스터트롯유튜브
편집:가인청도 https://t.co/JSBZO3zxoB",2021-09-02,07:04:12
64,4️⃣이낙연💙문프가 미래다,@happydal012,RT @tokicullen: 송가인님의 왕팬인 우리엄마😆 가인이어라 노래 가사에서 가인에 낙연 넣어 부르고있곸ㅋㅋㅋㅋ대선때 이 노래 쓰면 좋겠다고 가사랑 이낙연 후보님이랑 너무 잘 맞는다곸ㅋㅋㅋㅋㅋ컵라면 먹다 뿜을뻔 했넼ㅋㅋㅋㅋ벌써 대선생각 하는 우…,2021-09-02,07:02:54
65,음표,@muleumpyo_69,가인 아가씨 뭐야?!,2021-09-02,07:02:43
66,유진영웅처럼커라,@hero06161004,"임영웅 웃는모습이 너무 이뻐요 
임영웅 뽕숭아학당 

#임영웅 #LimYoungWoong 
#임영웅뽕숭아학당 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/Swt8GpAej4",2021-09-02,06:59:55
67,호월에진심,@burdock_crying,@gichana_97 꼭꼭곢ㄱ해보고싶음 내 꿈은 가인학생,2021-09-02,06:58:08
68,걈산🤝,@Dx4B05JqwH0n6mP,가인학생 1짤 느와르 그자체,2021-09-02,06:55:33
69,브아걸 솔로 가사 봇,@BGsllyrics_bot,"닿을 수도 없는 외침을
소리 없이 뱉어보아도
누가 알아줄까
내 마음을
- 가인 'Set Me Free 中'",2021-09-02,06:54:54
70,구독계,@malrang_kijul,"RT @yeneex2: 빅스비와 프리스타일 랩배틀하는 가인이
비트 저작권으로 인스타와 여기에 올립니다. https://t.co/VD0HbDX7UX",2021-09-02,06:49:48
71,ZADO @相互フォロバ 맞팔 F4F followback 100%,@fotipuvute,"충북대딸 강화마네킨 달서삼성명함 완주농협상품권 만건 디패 가부 불학 노턱 가인 가천 길트 붐암 라쳇 방송통신대역커피용품판매 계성면피규어맞춤제작 업 특전사 호텔조인 현수막광고 캐리어에어컨 센트럴성형외과
소셜광고
구글상위
홍보회사
FOLLOW",2021-09-02,06:43:05
72,모ㄹl,@pinksoup_hq,RT @Poro_orop: 인건비도 남지 않았지만 저는 받아보신 분들께서 즐거워하시고 포카를 귀여워해주셔서 감사하게 좋은 경험이라 생각하고 끝내려고 했지만.. 재판을 하게 되면 부득이하게 일반적 판매가인 '장당 천원' 으로 가격이 다시 책정될 예정입…,2021-09-02,06:42:04
