,닉네임,ID,내용,날짜,시간
70,졸작트🌙,@PH_not_,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,06:59:50
71,다비치 가사 봇,@DAVICHI_lyrics,"벨이 울리고 문이 열렸을 때
그대 서 있었죠

내겐 기적이었어요 사랑에 빠졌나 봐

- 강민경&amp;박지헌 「Happy Together」 中 -",2021-09-01,06:00:10
72,절편,@xiainme,"RT @XIAinfo: [기사] 김준수의 '엑스칼리버', 더 위대해진 찬란한 햇살 [강민경의 전지적 덕후시점] (출처 : 스타뉴스 | 네이버 TV연예) https://t.co/9E06wLRNZc

#김준수 #XIA #준수 #XIA준수 #시아준수 #J…",2021-09-01,05:40:25
73,권영국-서울특별시거주 MY🔭📐⚘🎅🎄🏡📁다코🔭📐🌹다비치V🏗📊🇰🇷,@kwonyeongguk1,20210901 #밍스타🌟#다비치 #DAVICHI #강민경 @iamkmk😍✌☕❤❣ https://t.co/f7NVUbMND8,2021-09-01,05:36:37
74,(민초파)ㅊ ㅏ ㄷ ㅏ ㄱ🎗ᓚᘏᗢ,@j_a_d_e_jjj,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,05:12:41
75,sara🌹,@seizedbyDeSire,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,04:59:10
76,✨오늘은✨,@onuel_,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,04:47:52
77,ㅍio✨✶* ✦✴️🤏,@dbzpio,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,04:18:48
78,담,@jellybeen5339,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,03:01:33
79,자컾 다 빨아먹는 무너,@TaKo_lll,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,02:57:00
80,러 단비,@danbeeslove,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,02:27:59
81,운하,@UNHA_030,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,02:03:06
82,𝙳𝚘𝚌𝚑𝚒,@dochi_cb,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,01:50:11
83,구독계임,@GU_Dog_G,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,01:32:51
84,매꺼피,@macgurfi,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-01,01:27:03
