,닉네임,ID,내용,날짜,시간
45,홀딱,@michin_kiki,"RT @HwangDemi: 가족모임에 참여했을때 재미나 다른 가치가 느껴지면 게임을 안하겠지

아이들이나 게임이 문제라고 얘기하기보단 가족 모임을 어떤식으로 바꿀까 고민하는게 더 생산성 있음",2021-09-02,08:30:22
46,오타쿠 푸른늑대,@BW_Oduk,RT @LoveSujunggong: 나는 선한사람이 보답받는게 좋아... 어째서 선의는 아무런 의미 없이 가치없는 종잇조각처럼 여겨지고 마냐고 좌절해서 우는 것보단 그래도 믿고 달려온 가치가 있었다고 울면서 만신창이로 웃는게좋아 ㅅㅂ,2021-09-02,08:30:18
47,숲속작은집,@BB_forest_s,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:30:18
48,ㄹㄷ,@XIII_RadioCH,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:30:18
49,박미영 4️⃣랑해요 이낙연,@MPark1202,"RT @sweetrain4you: 가치를 위해 이익을 포기할 수 있을지,
아니면,
이익을 위해 가치를 내려 놓아야 할 지,
어른이 되면 이런것이 고민이 될 줄 알았으나 아니었다. 선택이 아니라 본성의 문제라 오히려 간결했다.
오늘도 본능에 따라 한걸…",2021-09-02,08:30:06
50,Coletta,@colettacolla,가치 있는 적이 될 수 있는 자는 화해하면 더 가치 있는 친구가 될 것이다.(펠담) https://t.co/u5GBYiZEOH,2021-09-02,08:30:04
51,Gorou•고로✦ *⃝̥,@__Gorou_GS,"계속 동료들을 건드려서 말하는 건데.. 그쪽이 아량을 베풀고 있다고 착각하지 마. 내 친구들은 모두 훌륭하고 제각기 가치가 있는 이들이니, 너희가 멋대로 평가를 내릴 자격은 없다고.",2021-09-02,08:29:54
52,Coletta,@colettacolla,만약 제군이 돈의 가치를 알고 싶으면 나가서 얼마간의 돈을 빌려 보라 - 프랭클린 https://t.co/Swg2GgHinr,2021-09-02,08:29:43
53,4️⃣풍경소리,@bluenight1004,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:29:34
54,NINE,@NineXThunder,"⚡ 임무에 몸을 사린다면 그건 그거대로 히어로 자격 실격입니다. 전 언제나 위그드라실을 위해서 제 한 사람의 가치를 증명해야 하며, 몫을 채워야 하니까요.",2021-09-02,08:29:31
55,은여 / 쉽게 위로하지 않고 서둘러 웃지 않아도,@eunyu0,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:29:22
56,.•♡,@o6_92,"RT @haru_Day_v: .                                오늘 점심 안먹는다며
오웅... 그랫찌...
                                근데 졍우랑 왜 둘이서…",2021-09-02,08:29:10
57,㉩ㅔㄹi맛 농후 고.기☆=͟͟͞͞➳❥🍒🌶,@nenoi267,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:29:06
